season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2023-24,19,28,Matt Turner,GK,Nott'm Forest,16,15,0,2023-12-26T12:30:00Z,90,3,0,0,0,1,0,23,45.4,0.0,0.0,4.5,0.0,0.0,0.0,2.43,1,39
2023-24,19,29,Benjamin White,DEF,Arsenal,1,19,1,2023-12-28T20:15:00Z,90,1,0,0,0,2,0,16,18.4,20.5,10.0,4.9,0.1,0.51,0.61,1.48,1,56
2023-24,19,30,Granit Xhaka,MID,Arsenal,1,19,1,2023-12-28T20:15:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60
2023-24,19,31,Oleksandr Zinchenko,DEF,Arsenal,1,19,1,2023-12-28T20:15:00Z,63,1,0,0,0,2,0,13,11.2,27.8,2.0,4.1,0.0,0.3,0.3,0.6,1,52
2023-24,19,32,Alexandre Moreno Lopera,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,40,0,0,0,0,3,0,11,11.6,25.3,6.0,4.3,0.0,0.33,0.33,0.71,0,50
2023-24,19,33,Cameron Archer,FWD,Sheffield Utd,17,12,1,2023-12-26T15:00:00Z,85,5,0,1,0,3,0,18,10.8,27.5,29.0,6.7,0.76,0.19,0.95,0.63,1,46
2023-24,19,34,Leon Bailey,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,76,2,0,0,0,2,0,5,8.6,11.8,35.0,5.5,0.1,0.24,0.34,0.85,1,56
2023-24,19,35,Emiliano Buendía Stati,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57
2023-24,19,36,Matty Cash,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47
2023-24,19,37,Calum Chambers,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,19,38,Philippe Coutinho Correia,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58
2023-24,19,39,Keinan Davis,FWD,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,19,40,Leander Dendoncker,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,85,13,1,1,0,3,3,45,43.4,3.1,35.0,8.2,0.7,0.01,0.71,0.95,1,49
2023-24,19,41,Diego Carlos Santos Silva,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,90,0,0,0,0,3,0,11,21.6,0.8,4.0,2.6,0.1,0.01,0.11,1.04,1,44
2023-24,19,42,Lucas Digne,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,49,1,0,0,0,0,0,5,7.6,18.9,10.0,3.7,0.0,0.1,0.1,0.32,1,47
2023-24,19,43,Douglas Luiz Soares de Paulo,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,90,2,0,0,0,3,0,7,4.0,29.8,4.0,3.8,0.04,0.09,0.13,1.04,1,55
2023-24,19,44,Jhon Durán,FWD,Aston Villa,2,14,0,2023-12-26T20:00:00Z,4,1,0,0,0,0,0,2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.09,0,50
2023-24,19,45,Kortney Hause,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,19,46,Tim Iroegbunam,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,4,1,0,0,0,0,0,2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.09,0,44
2023-24,19,47,Boubacar Kamara,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2023-24,19,48,Ezri Konsa Ngoyo,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,90,0,0,0,0,3,0,10,14.4,3.0,4.0,2.1,0.08,0.02,0.1,1.04,1,46
2023-24,19,49,Emiliano Martínez Romero,GK,Aston Villa,2,14,0,2023-12-26T20:00:00Z,90,2,0,0,0,3,0,23,32.6,0.0,0.0,3.3,0.0,0.0,0.0,1.04,1,52
2023-24,19,50,John McGinn,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,85,7,1,0,0,3,0,20,38.0,18.9,27.0,8.4,0.55,0.08,0.63,0.95,1,55
2023-24,19,51,Tyrone Mings,DEF,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41
2023-24,19,52,Marvelous Nakamba,MID,Luton,12,17,0,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,19,53,Robin Olsen,GK,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,19,54,Jaden Philogene-Bidace,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,55,Jacob Ramsey,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,76,1,0,0,0,2,0,2,6.4,1.5,20.0,2.8,0.1,0.02,0.12,0.85,1,59
2023-24,19,56,Morgan Sanson,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,57,Viljami Sinisalo,GK,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,19,58,Youri Tielemans,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56
2023-24,19,59,Bertrand Traoré,MID,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2023-24,19,60,Ollie Watkins,FWD,Aston Villa,2,14,0,2023-12-26T20:00:00Z,90,2,0,0,0,3,0,6,6.2,3.1,4.0,1.3,0.0,0.04,0.04,1.04,1,88
2023-24,19,61,Wesley Moraes Ferreira da Silva,FWD,Aston Villa,2,14,0,2023-12-26T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2023-24,19,62,Jaidon Anthony,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,19,63,Philip Billing,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,17,1,0,0,0,0,0,5,4.2,12.6,4.0,2.1,0.0,0.08,0.08,0.0,0,52
2023-24,19,64,David Brooks,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,2,4,0,1,0,0,0,12,20.2,10.6,17.0,4.8,0.01,0.0,0.01,0.0,0,48
2023-24,19,65,Ryan Christie,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,90,3,0,0,1,0,0,12,15.2,6.2,4.0,2.5,0.04,0.01,0.05,0.28,1,50
2023-24,19,66,Lewis Cook,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2023-24,19,67,Siriki Dembélé,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,68,Ryan Fredericks,DEF,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,19,69,James Hill,DEF,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,19,70,Lloyd Kelly,DEF,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,71,Gavin Kilkenny,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,19,72,Justin Kluivert,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,72,8,1,0,1,0,0,25,42.4,32.6,28.0,10.3,0.29,0.05,0.34,0.28,1,46
2023-24,19,73,Jamal Lowe,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,19,74,Emiliano Marcondes,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,19,75,Chris Mepham,DEF,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,19,76,Kieffer Moore,FWD,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47
2023-24,19,77,Norberto Murara Neto,GK,Bournemouth,3,10,1,2023-12-26T15:00:00Z,90,9,0,0,1,0,2,28,20.6,0.0,0.0,2.1,0.0,0.0,0.0,0.28,1,46
2023-24,19,78,Dango Ouattara,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,90,3,0,0,1,0,0,21,20.0,1.6,8.0,3.0,0.16,0.01,0.17,0.28,1,47
2023-24,19,79,Ben Pearson,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,80,Darren Randolph,GK,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,19,81,Joe Rothwell,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48
2023-24,19,82,Antoine Semenyo,FWD,Bournemouth,3,10,1,2023-12-26T15:00:00Z,71,5,0,1,1,0,0,20,5.2,11.8,4.0,2.1,0.02,0.05,0.07,0.28,1,46
2023-24,19,83,Marcos Senesi,DEF,Bournemouth,3,10,1,2023-12-26T15:00:00Z,90,6,0,0,1,0,0,24,24.0,1.1,2.0,2.7,0.0,0.02,0.02,0.28,1,45
2023-24,19,84,Adam Smith,DEF,Bournemouth,3,10,1,2023-12-26T15:00:00Z,90,6,0,0,1,0,0,24,9.8,0.9,0.0,1.1,0.0,0.0,0.0,0.28,1,44
2023-24,19,85,Dominic Solanke,FWD,Bournemouth,3,10,1,2023-12-26T15:00:00Z,90,6,1,0,1,0,0,25,36.4,3.0,33.0,7.2,1.01,0.05,1.06,0.28,1,70
2023-24,19,86,Marcus Tavernier,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,87,3,0,0,1,0,0,2,0.0,1.9,18.0,1.8,0.25,0.02,0.27,0.28,1,54
2023-24,19,87,Hamed Traorè,MID,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47
2023-24,19,88,Mark Travers,GK,Bournemouth,3,10,1,2023-12-26T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,19,89,Illia Zabarnyi,DEF,Bournemouth,3,10,1,2023-12-26T15:00:00Z,90,7,0,0,1,0,1,26,15.2,13.8,0.0,2.9,0.0,0.18,0.18,0.28,1,44
2023-24,19,90,Kristoffer Ajer,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,91,Ellery Balcombe,GK,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,19,92,Shandon Baptiste,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,19,93,Mads Bech Sørensen,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,19,94,Mads Bidstrup,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,95,Sergi Canós Tenés,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2023-24,19,96,Nathan Collins,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,90,0,0,0,0,4,0,2,13.6,2.4,11.0,2.7,0.54,0.02,0.56,2.1,1,45
2023-24,19,97,Matthew Cox,GK,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,19,98,Mikkel Damsgaard,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,45,1,0,0,0,1,0,7,6.8,18.4,9.0,3.4,0.15,0.09,0.24,0.32,0,48
2023-24,19,99,Josh Dasilva,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47
2023-24,19,100,Halil Dervişoğlu,FWD,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,101,Mark Flekken,GK,Brentford,4,20,1,2023-12-27T19:30:00Z,90,0,0,0,0,4,0,15,13.6,0.0,0.0,1.4,0.0,0.0,0.0,2.1,1,45
2023-24,19,102,Charlie Goode,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,19,103,Rico Henry,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,19,104,Aaron Hickey,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,19,105,Vitaly Janelt,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,90,2,0,0,0,4,0,12,31.8,23.8,51.0,10.7,0.51,0.22,0.73,2.1,1,53
2023-24,19,106,Mathias Jensen,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,23,1,0,0,0,1,0,4,2.6,3.2,4.0,1.0,0.02,0.02,0.04,0.32,0,54
2023-24,19,107,Keane Lewis-Potter,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,85,2,0,0,0,4,0,12,19.0,28.2,54.0,10.1,0.39,0.43,0.82,2.06,1,47
2023-24,19,108,Bryan Mbeumo,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68
2023-24,19,109,Ben Mee,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48
2023-24,19,110,Christian Nørgaard,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,90,1,0,0,0,4,0,13,13.6,6.3,13.0,3.3,0.08,0.1,0.18,2.1,1,54
2023-24,19,111,Frank Onyeka,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,19,112,Ethan Pinnock,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,90,0,0,0,0,4,0,13,12.2,12.1,12.0,3.6,0.03,0.32,0.35,2.1,1,46
2023-24,19,113,David Raya Martin,GK,Arsenal,1,19,1,2023-12-28T20:15:00Z,90,6,0,0,0,2,0,25,30.2,0.0,0.0,3.0,0.0,0.0,0.0,1.48,1,49
2023-24,19,114,Mads Roerslev Rasmussen,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,66,1,0,0,0,3,0,8,11.6,8.9,0.0,2.1,0.0,0.02,0.02,1.78,1,44
2023-24,19,115,Kevin Schade,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53
2023-24,19,116,Thomas Strakosha,GK,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,19,117,Ivan Toney,FWD,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,79
2023-24,19,118,Ryan Trevitt,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,119,Yoane Wissa,FWD,Brentford,4,20,1,2023-12-27T19:30:00Z,85,7,1,0,0,4,1,30,41.6,30.1,30.0,10.2,0.27,0.59,0.86,2.06,1,58
2023-24,19,120,Yegor Yarmoliuk,MID,Brentford,4,20,1,2023-12-27T19:30:00Z,45,1,0,0,0,3,0,5,4.0,4.2,0.0,0.8,0.0,0.01,0.01,1.78,1,44
2023-24,19,121,Mathias Jorgensen,DEF,Brentford,4,20,1,2023-12-27T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,19,122,Simon Adingra,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2023-24,19,123,Steven Alzate,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,19,124,Yasin Ayari,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,125,Facundo Buonanotte,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,58,0,0,0,0,0,0,3,9.8,12.1,14.0,3.6,0.1,0.02,0.12,1.05,1,47
2023-24,19,126,Moisés Caicedo Corozo,MID,Chelsea,7,8,1,2023-12-27T19:30:00Z,90,1,0,0,0,1,0,8,22.4,10.9,0.0,3.3,0.0,0.07,0.07,1.08,1,46
2023-24,19,127,Aaron Connolly,FWD,Brighton,5,18,1,2023-12-28T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,19,128,Mahmoud Dahoud,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48
2023-24,19,129,Lewis Dunk,DEF,Brighton,5,18,1,2023-12-28T19:30:00Z,90,0,0,0,0,2,0,10,20.0,3.4,49.0,7.2,0.48,0.01,0.48,2.48,1,50
2023-24,19,130,Julio Enciso,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51
2023-24,19,131,Pervis Estupiñán,DEF,Brighton,5,18,1,2023-12-28T19:30:00Z,45,6,1,0,0,2,0,23,45.2,0.3,7.0,5.3,0.03,0.0,0.03,1.91,0,49
2023-24,19,132,Evan Ferguson,FWD,Brighton,5,18,1,2023-12-28T19:30:00Z,21,4,0,1,0,2,0,11,1.0,0.6,2.0,0.4,0.0,0.01,0.01,1.43,0,60
2023-24,19,133,Billy Gilmour,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,90,2,0,0,0,2,0,18,14.4,14.6,2.0,3.1,0.0,0.03,0.03,2.48,1,49
2023-24,19,134,Pascal Groß,MID,Brighton,5,18,1,2023-12-28T19:30:00Z,90,2,0,0,0,2,0,25,36.2,45.7,0.0,8.2,0.0,0.33,0.33,2.48,1,64
2023-24,19,135,João Pedro Junqueira de Jesus,FWD,Brighton,5,18,1,2023-12-28T19:30:00Z,90,16,2,1,0,2,3,68,101.0,27.2,76.0,20.4,2.11,0.14,2.25,2.13,1,54
